scene,scene_label,method,method_label,model_slug,model_label,run_id,final_score,delta_vs_no_robot
simple_home_1f,Home,no_robot,No robot,npc_only_baseline,No robot,20260622T031935Z_3610cc67,0.6588,0.0
simple_home_1f,Home,reactive,Reactive,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T135842Z_e07416d8,0.6719,0.0131
simple_home_1f,Home,reactive,Reactive,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142425Z_699d71da,0.653,-0.005800000000000027
simple_home_1f,Home,single_round,Single-round,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142657Z_c8cc3cdd,0.6192,-0.03960000000000008
simple_home_1f,Home,single_round,Single-round,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142434Z_a4c79592,0.6261,-0.03270000000000006
simple_home_1f,Home,goal_review,Goal-review,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142820Z_3d510941,0.7349,0.07609999999999995
simple_home_1f,Home,goal_review,Goal-review,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142439Z_e826d1d5,0.7549,0.09609999999999996
simple_hospital_1f,Hospital,no_robot,No robot,npc_only_baseline,No robot,20260622T031954Z_da224f9f,0.5205,0.0
simple_hospital_1f,Hospital,reactive,Reactive,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T135906Z_58e3fa2e,0.5439,0.023400000000000087
simple_hospital_1f,Hospital,reactive,Reactive,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142450Z_6280daba,0.5158,-0.0046999999999999265
simple_hospital_1f,Hospital,single_round,Single-round,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142701Z_58555b22,0.6953,0.17480000000000007
simple_hospital_1f,Hospital,single_round,Single-round,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142502Z_1edc242b,0.6953,0.17480000000000007
simple_hospital_1f,Hospital,goal_review,Goal-review,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142824Z_38b4bfc6,0.6121,0.09160000000000001
simple_hospital_1f,Hospital,goal_review,Goal-review,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142509Z_9b7d8c3f,0.7311,0.2106
simple_supermarket_1f,Supermarket,no_robot,No robot,npc_only_baseline,No robot,20260622T032032Z_98f55bcb,0.5762,0.0
simple_supermarket_1f,Supermarket,reactive,Reactive,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T135911Z_26562a26,0.5684,-0.007800000000000029
simple_supermarket_1f,Supermarket,reactive,Reactive,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142546Z_68c31c1a,0.6072,0.030999999999999917
simple_supermarket_1f,Supermarket,single_round,Single-round,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142707Z_ef663e1f,0.6945,0.11829999999999996
simple_supermarket_1f,Supermarket,single_round,Single-round,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142554Z_1f64cf8f,0.6957,0.11949999999999994
simple_supermarket_1f,Supermarket,goal_review,Goal-review,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142828Z_7ecac6de,0.658,0.08179999999999998
simple_supermarket_1f,Supermarket,goal_review,Goal-review,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142601Z_2dc069ab,0.7528,0.17659999999999998
simple_office_1f,Office,no_robot,No robot,npc_only_baseline,No robot,20260622T032130Z_a1db08b3,0.4559,0.0
simple_office_1f,Office,reactive,Reactive,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T135915Z_2b5b2eb3,0.5127,0.05680000000000002
simple_office_1f,Office,reactive,Reactive,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142516Z_044beb94,0.5933,0.13740000000000002
simple_office_1f,Office,single_round,Single-round,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142713Z_79de0788,0.7584,0.30249999999999994
simple_office_1f,Office,single_round,Single-round,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142530Z_659380d8,0.7397,0.2838
simple_office_1f,Office,goal_review,Goal-review,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T102301Z_95638a4e,0.6827,0.22679999999999995
simple_office_1f,Office,goal_review,Goal-review,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142539Z_8e44a93a,0.7393,0.28339999999999993
simple_factory_1f,Factory,no_robot,No robot,npc_only_baseline,No robot,20260622T032234Z_041923ae,0.3806,0.0
simple_factory_1f,Factory,reactive,Reactive,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T135919Z_09714f2e,0.3748,-0.005799999999999972
simple_factory_1f,Factory,reactive,Reactive,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142608Z_0402ae51,0.3844,0.0038000000000000256
simple_factory_1f,Factory,single_round,Single-round,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142717Z_53074a4e,0.6516,0.27099999999999996
simple_factory_1f,Factory,single_round,Single-round,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142614Z_cdc7d0c8,0.647,0.2664
simple_factory_1f,Factory,goal_review,Goal-review,vllm_qwen3_5_9b,Qwen3.5-9B,20260620T142833Z_d31f6c01,0.581,0.20039999999999997
simple_factory_1f,Factory,goal_review,Goal-review,vllm_deepseek_r1_14b,DeepSeek-R1-14B,20260621T142619Z_5e0d0fee,0.642,0.2614
